jppfs_cor:DeferredGainsOrLossesOnHedgesMember,繰延ヘッジ損益 [メンバー],Deferred gains or losses on hedges,Deferred gains or losses on hedges [member]
jppfs_cor:SubscriptionRightsToPreferredSharesLIQMember,新優先出資引受権、資産流動化業 [メンバー],Subscription rights to preferred shares,Subscription rights to preferred shares-LIQ [member]
jppfs_cor:StatementOfMembersEquityLineItems,社員資本等変動計算書 [表示項目],Statement of members' equity,Statement of members' equity [line items]
jppfs_cor:NetAssets,純資産,Net assets,Net assets
jppfs_cor:ChangesOfItemsDuringThePeriodAbstract,当期変動額 [タイトル項目],Changes of items during period,Changes of items during period [abstract]
jppfs_cor:IssuanceOfSpecificSharesLIQ,特定出資の発行、資産流動化業,Issuance of specific shares,Issuance of specific shares-LIQ
jppfs_cor:IssuanceOfPreferredSharesLIQ,優先出資の発行、資産流動化業,Issuance of preferred shares,Issuance of preferred shares-LIQ
jppfs_cor:DividendsFromProfit,利益の配当,Dividends from profit,Dividends from profit
jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
jppfs_cor:PurchaseOfTreasuryPreferredStockLIQ,自己優先出資の取得、資産流動化業,Purchase of treasury preferred shares,Purchase of treasury preferred shares-LIQ
jppfs_cor:RetirementOfTreasuryPreferredStockLIQ,自己優先出資の消却、資産流動化業,Retirement of treasury preferred shares,Retirement of treasury preferred shares-LIQ
jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,Net changes of items other than shareholders' equity,Net changes of items other than shareholders' equity
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Total changes of items during period,Total changes of items during period
