タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jpigp_cor:CondensedSemiAnnualStatementOfCashFlowsIFRSHeading,要約中間キャッシュ・フロー計算書（IFRS） [目次項目],Condensed semi-annual statement of cash flows,Condensed semi-annual statement of cash flows (IFRS) [heading]
jpigp_cor:CondensedSemiAnnualStatementOfCashFlowsIFRSTextBlock,要約中間キャッシュ・フロー計算書（IFRS） [テキストブロック],Condensed semi-annual statement of cash flows,Condensed semi-annual statement of cash flows (IFRS) [text block]
jpigp_cor:NotesToCondensedSemiAnnualFinancialStatementsIFRSHeading,要約中間財務諸表注記事項（IFRS） [目次項目],Notes to condensed semi-annual financial statements,Notes to condensed semi-annual financial statements (IFRS) [heading]
jpigp_cor:NotesReportingEntityCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－報告企業、要約中間財務諸表（IFRS） [目次項目],Notes - Reporting entity,"Notes - Reporting entity, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesReportingEntityCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－報告企業、要約中間財務諸表（IFRS） [テキストブロック],Notes - Reporting entity,"Notes - Reporting entity, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesBasisOfPreparationCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－作成の基礎、要約中間財務諸表（IFRS） [目次項目],Notes - Basis of preparation,"Notes - Basis of preparation, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesBasisOfPreparationCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－作成の基礎、要約中間財務諸表（IFRS） [テキストブロック],Notes - Basis of preparation,"Notes - Basis of preparation, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesSignificantAccountingPoliciesCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－重要な会計方針、要約中間財務諸表（IFRS） [目次項目],Notes - Significant accounting policies,"Notes - Significant accounting policies, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesSignificantAccountingPoliciesCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－重要な会計方針、要約中間財務諸表（IFRS） [テキストブロック],Notes - Significant accounting policies,"Notes - Significant accounting policies, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesChangesInAccountingPoliciesCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－会計方針の変更、要約中間財務諸表（IFRS） [目次項目],Notes - Changes in accounting policies,"Notes - Changes in accounting policies, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesChangesInAccountingPoliciesCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－会計方針の変更、要約中間財務諸表（IFRS） [テキストブロック],Notes - Changes in accounting policies,"Notes - Changes in accounting policies, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesSignificantAccountingEstimatesAndJudgementsCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－重要な会計上の見積り及び判断、要約中間財務諸表（IFRS） [目次項目],Notes - Significant accounting estimates and judgements,"Notes - Significant accounting estimates and judgements, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesSignificantAccountingEstimatesAndJudgementsCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－重要な会計上の見積り及び判断、要約中間財務諸表（IFRS） [テキストブロック],Notes - Significant accounting estimates and judgements,"Notes - Significant accounting estimates and judgements, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesNewStandardsNotYetAppliedCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－未適用の新基準、要約中間財務諸表（IFRS） [目次項目],Notes - New standards not yet applied,"Notes - New standards not yet applied, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesNewStandardsNotYetAppliedCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－未適用の新基準、要約中間財務諸表（IFRS） [テキストブロック],Notes - New standards not yet applied,"Notes - New standards not yet applied, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesSegmentInformationCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－セグメント情報、要約中間財務諸表（IFRS） [目次項目],Notes - Segment information,"Notes - Segment information, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesSegmentInformationCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－セグメント情報、要約中間財務諸表（IFRS） [テキストブロック],Notes - Segment information,"Notes - Segment information, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesGroupEntitiesCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－グループ企業、要約中間財務諸表（IFRS） [目次項目],Notes - Group entities,"Notes - Group entities, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesGroupEntitiesCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－グループ企業、要約中間財務諸表（IFRS） [テキストブロック],Notes - Group entities,"Notes - Group entities, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesSubsidiariesAndAssociatesCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－子会社及び関連会社、要約中間財務諸表（IFRS） [目次項目],Notes - Subsidiaries and associates,"Notes - Subsidiaries and associates, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesSubsidiariesAndAssociatesCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－子会社及び関連会社、要約中間財務諸表（IFRS） [テキストブロック],Notes - Subsidiaries and associates,"Notes - Subsidiaries and associates, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesSubsidiariesCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－子会社、要約中間財務諸表（IFRS） [目次項目],Notes - Subsidiaries,"Notes - Subsidiaries, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesSubsidiariesCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－子会社、要約中間財務諸表（IFRS） [テキストブロック],Notes - Subsidiaries,"Notes - Subsidiaries, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesAssociatesAndJointVenturesCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－関連会社及びジョイント・ベンチャー、要約中間財務諸表（IFRS） [目次項目],Notes - Associates and joint ventures,"Notes - Associates and joint ventures, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesAssociatesAndJointVenturesCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－関連会社及びジョイント・ベンチャー、要約中間財務諸表（IFRS） [テキストブロック],Notes - Associates and joint ventures,"Notes - Associates and joint ventures, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesAssociatesCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－関連会社、要約中間財務諸表（IFRS） [目次項目],Notes - Associates,"Notes - Associates, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesAssociatesCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－関連会社、要約中間財務諸表（IFRS） [テキストブロック],Notes - Associates,"Notes - Associates, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesInterestsInOtherEntitiesCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－他の企業への関与、要約中間財務諸表（IFRS） [目次項目],Notes - Interests in other entities,"Notes - Interests in other entities, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesInterestsInOtherEntitiesCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－他の企業への関与、要約中間財務諸表（IFRS） [テキストブロック],Notes - Interests in other entities,"Notes - Interests in other entities, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesBusinessCombinationsCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－企業結合、要約中間財務諸表（IFRS） [目次項目],Notes - Business combinations,"Notes - Business combinations, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesBusinessCombinationsCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－企業結合、要約中間財務諸表（IFRS） [テキストブロック],Notes - Business combinations,"Notes - Business combinations, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesStructuredEntitiesCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－ストラクチャード・エンティティ、要約中間財務諸表（IFRS） [目次項目],Notes - Structured entities,"Notes - Structured entities, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesStructuredEntitiesCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－ストラクチャード・エンティティ、要約中間財務諸表（IFRS） [テキストブロック],Notes - Structured entities,"Notes - Structured entities, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesCashAndCashEquivalentsCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－現金及び現金同等物、要約中間財務諸表（IFRS） [目次項目],Notes - Cash and cash equivalents,"Notes - Cash and cash equivalents, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesCashAndCashEquivalentsCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－現金及び現金同等物、要約中間財務諸表（IFRS） [テキストブロック],Notes - Cash and cash equivalents,"Notes - Cash and cash equivalents, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeAndOtherReceivablesCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－営業債権及びその他の債権、要約中間財務諸表（IFRS） [目次項目],Notes - Trade and other receivables,"Notes - Trade and other receivables, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeAndOtherReceivablesCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－営業債権及びその他の債権、要約中間財務諸表（IFRS） [テキストブロック],Notes - Trade and other receivables,"Notes - Trade and other receivables, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeReceivablesCondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－営業債権、要約中間財務諸表（IFRS） [目次項目],Notes - Trade receivables,"Notes - Trade receivables, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeReceivablesCondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－営業債権、要約中間財務諸表（IFRS） [テキストブロック],Notes - Trade receivables,"Notes - Trade receivables, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeAndOtherReceivables2CondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－売上債権及びその他の債権、要約中間財務諸表（IFRS） [目次項目],Notes - Trade and other receivables,"Notes - Trade and other receivables 2, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeAndOtherReceivables2CondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－売上債権及びその他の債権、要約中間財務諸表（IFRS） [テキストブロック],Notes - Trade and other receivables,"Notes - Trade and other receivables 2, Condensed semi-annual financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeReceivables2CondensedSemiAnnualFinancialStatementsIFRSHeading,注記事項－売上債権、要約中間財務諸表（IFRS） [目次項目],Notes - Trade receivables,"Notes - Trade receivables 2, Condensed semi-annual financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeReceivables2CondensedSemiAnnualFinancialStatementsIFRSTextBlock,注記事項－売上債権、要約中間財務諸表（IFRS） [テキストブロック],Notes - Trade receivables,"Notes - Trade receivables 2, Condensed semi-annual financial statements (IFRS) [text block]"
